title,franchise,year,generation,console,website,publisher,developer,genre,confidence,notes,source_file
Star Wars - Episode I: Racer,Star Wars,2020,8th Generation,Nintendo Switch,,LucasArts,LucasArts,Racing,High,,game_lists_8th_gen_enriched
Star Wars: Hunters,Star Wars,2024,8th Generation,Nintendo Switch,,Lucasfilm Games,,,Medium,Publisher/developer varies by entry.,game_lists_8th_gen_enriched
Star Wars Jedi Knight: Jedi Academy,Star Wars,2020,8th Generation,Nintendo Switch,,LucasArts / Electronic Arts / Ubisoft,Various,Action / Adventure,Medium,Licensed franchise; publisher/developer varies by title.,game_lists_8th_gen_enriched
Star Wars Jedi Knight II: Jedi Outcast,Star Wars,2019,8th Generation,Nintendo Switch,,LucasArts / Electronic Arts / Ubisoft,Various,Action / Adventure,Medium,Licensed franchise; publisher/developer varies by title.,game_lists_8th_gen_enriched
Star Wars: Knights of the Old Republic,Star Wars,2021,8th Generation,Nintendo Switch,,LucasArts / Electronic Arts / Ubisoft,Various,Action / Adventure,Medium,Licensed franchise; publisher/developer varies by title.,game_lists_8th_gen_enriched
Star Wars: Knights of the Old Republic II - The Sith Lords,Star Wars,2022,8th Generation,Nintendo Switch,,Lucasfilm Games,,,Medium,Publisher/developer varies by entry.,game_lists_8th_gen_enriched
Star Wars Pinball,Star Wars,2019,8th Generation,Nintendo Switch,,Zen Studios,Zen Studios,Pinball,High,,game_lists_8th_gen_enriched
Star Wars: Republic Commando,Star Wars,2021,8th Generation,Nintendo Switch,,Lucasfilm Games,,,Medium,Publisher/developer varies by entry.,game_lists_8th_gen_enriched
Star Wars: The Force Unleashed,Star Wars,2022,8th Generation,Nintendo Switch,,LucasArts,LucasArts,Action,Medium,Developer varies by game/platform.,game_lists_8th_gen_enriched
Stranger Things 3,Stranger Things,2019,8th Generation,Sony PlayStation 4,,BonusXP,BonusXP,Action-Adventure,High,,game_lists_8th_gen_enriched
Stranger Things 3,Stranger Things,2019,8th Generation,Nintendo Switch,,BonusXP,BonusXP,Action-Adventure,High,,game_lists_8th_gen_enriched
Subnautica,Subnautica,2015,8th Generation,Sony PlayStation 4,,Unknown Worlds Entertainment,Unknown Worlds Entertainment,Survival,High,,game_lists_8th_gen_enriched
Subnautica: Below Zero,Subnautica,2021,8th Generation,Sony PlayStation 4,,Unknown Worlds Entertainment,Unknown Worlds Entertainment,Survival,High,,game_lists_8th_gen_enriched
Subnautica,Subnautica,2021,8th Generation,Nintendo Switch,,Unknown Worlds Entertainment,Unknown Worlds Entertainment,Survival,High,,game_lists_8th_gen_enriched
Subnautica: Below Zero,Subnautica,2021,8th Generation,Nintendo Switch,,Unknown Worlds Entertainment,Unknown Worlds Entertainment,Survival,High,,game_lists_8th_gen_enriched
Super Meat Boy,Super Meat Boy,2015,8th Generation,Sony PlayStation 4,,Team Meat,Team Meat,Platformer,High,,game_lists_8th_gen_enriched
Super Meat Boy Forever,Super Meat Boy,2021,8th Generation,Sony PlayStation 4,,Team Meat,Team Meat,Platformer,High,,game_lists_8th_gen_enriched
Super Meat Boy,Super Meat Boy,2018,8th Generation,Nintendo Switch,,Team Meat,Team Meat,Platformer,High,,game_lists_8th_gen_enriched
Super Meat Boy Forever,Super Meat Boy,2020,8th Generation,Nintendo Switch,,Team Meat,Team Meat,Platformer,High,,game_lists_8th_gen_enriched
Super Smash Bros. for Wii U,Super Smash Bros.,2014,8th Generation,Nintendo Wii U,,Nintendo,Bandai Namco Studios,Fighting,High,,game_lists_8th_gen_enriched
Super Smash Bros. Ultimate,Super Smash Bros.,2018,8th Generation,Nintendo Switch,,Nintendo,Bandai Namco Studios,Fighting,High,,game_lists_8th_gen_enriched
System Shock,System Shock,2024,8th Generation,Sony PlayStation 4,,Nightdive Studios / Electronic Arts,Looking Glass Studios / Nightdive Studios,Immersive Sim,Medium,Publisher/developer differs by original/remake/enhanced edition.,game_lists_8th_gen_enriched
The Binding of Isaac: Rebirth,The Binding of Isaac,2015,8th Generation,Nintendo Wii U,,Nicalis,Edmund McMillen / Nicalis,Roguelike,High,Original Flash game self-published; later editions commonly Nicalis.,game_lists_8th_gen_enriched
The Binding of Isaac: Rebirth,The Binding of Isaac,2014,8th Generation,Sony PlayStation 4,,Nicalis,Edmund McMillen / Nicalis,Roguelike,High,Original Flash game self-published; later editions commonly Nicalis.,game_lists_8th_gen_enriched
The Binding of Isaac: Repentance,The Binding of Isaac,2021,8th Generation,Sony PlayStation 4,,Nicalis,Edmund McMillen / Nicalis,Roguelike,High,Original Flash game self-published; later editions commonly Nicalis.,game_lists_8th_gen_enriched
The Binding of Isaac: Afterbirth+,The Binding of Isaac,2017,8th Generation,Nintendo Switch,,Nicalis,Edmund McMillen / Nicalis,Roguelike,High,Original Flash game self-published; later editions commonly Nicalis.,game_lists_8th_gen_enriched
The Binding of Isaac: Rebirth,The Binding of Isaac,2018,8th Generation,Nintendo Switch,,Nicalis,Edmund McMillen / Nicalis,Roguelike,High,Original Flash game self-published; later editions commonly Nicalis.,game_lists_8th_gen_enriched
The Binding of Isaac: Repentance,The Binding of Isaac,2021,8th Generation,Nintendo Switch,,Nicalis,Edmund McMillen / Nicalis,Roguelike,High,Original Flash game self-published; later editions commonly Nicalis.,game_lists_8th_gen_enriched
The Dark Pictures Anthology: House of Ashes,The Dark Pictures Anthology,2021,8th Generation,Sony PlayStation 4,,Bandai Namco Entertainment,Supermassive Games,Interactive Drama,Medium,,game_lists_8th_gen_enriched
The Dark Pictures Anthology: Little Hope,The Dark Pictures Anthology,2020,8th Generation,Sony PlayStation 4,,Bandai Namco Entertainment,Supermassive Games,Interactive Drama,Medium,,game_lists_8th_gen_enriched
The Dark Pictures Anthology: Man of Medan,The Dark Pictures Anthology,2019,8th Generation,Sony PlayStation 4,,Bandai Namco Entertainment,Supermassive Games,Interactive Drama,Medium,,game_lists_8th_gen_enriched
The Elder Scrolls Online,The Elder Scrolls,2015,8th Generation,Sony PlayStation 4,,Bethesda Softworks,Bethesda Game Studios / ZeniMax Online Studios,RPG,Medium,Online/Legends have different developers.,game_lists_8th_gen_enriched
The Elder Scrolls V: Skyrim - Special Edition,The Elder Scrolls,2016,8th Generation,Sony PlayStation 4,,Bethesda Softworks,Bethesda Game Studios / ZeniMax Online Studios,RPG,Medium,Online/Legends have different developers.; Metadata based on base game/title variant.,game_lists_8th_gen_enriched
The Elder Scrolls: Blades,The Elder Scrolls,2020,8th Generation,Nintendo Switch,,Bethesda Softworks,Bethesda Game Studios,RPG,Medium,,game_lists_8th_gen_enriched
The Elder Scrolls V: Skyrim,The Elder Scrolls,2017,8th Generation,Nintendo Switch,,Bethesda Softworks,Bethesda Game Studios / ZeniMax Online Studios,RPG,Medium,Online/Legends have different developers.,game_lists_8th_gen_enriched
The Evil Within,The Evil Within,2014,8th Generation,Sony PlayStation 4,,Bethesda Softworks,Tango Gameworks,Survival Horror,High,,game_lists_8th_gen_enriched
The Evil Within 2,The Evil Within,2017,8th Generation,Sony PlayStation 4,,Bethesda Softworks,Tango Gameworks,Survival Horror,High,,game_lists_8th_gen_enriched
The Evil Within,The Evil Within,2014,8th Generation,Nintendo Switch,,Bethesda Softworks,Tango Gameworks,Survival Horror,High,,game_lists_8th_gen_enriched
The Evil Within 2,The Evil Within,2017,8th Generation,Nintendo Switch,,Bethesda Softworks,Tango Gameworks,Survival Horror,High,,game_lists_8th_gen_enriched
The Forest,The Forest,2014,8th Generation,Sony PlayStation 4,,Endnight Games,Endnight Games,Survival Horror,High,,game_lists_8th_gen_enriched
The House of the Dead,The House of the Dead,2022,8th Generation,Sony PlayStation 4,,Forever Entertainment,MegaPixel Studio,Light Gun Shooter,High,,game_lists_8th_gen_enriched
The House of the Dead,The House of the Dead,2022,8th Generation,Nintendo Switch,,Forever Entertainment,MegaPixel Studio,Light Gun Shooter,High,,game_lists_8th_gen_enriched
The House of the Dead 2,The House of the Dead,2025,8th Generation,Nintendo Switch,,Forever Entertainment,MegaPixel Studio,Light Gun Shooter,Medium,Upcoming/modern remaster entry.,game_lists_8th_gen_enriched
The Last of Us - Remastered,The Last of Us,2014,8th Generation,Sony PlayStation 4,,Sony Computer Entertainment,Naughty Dog,Action-Adventure,High,,game_lists_8th_gen_enriched
The Last of Us: Left Behind,The Last of Us,2015,8th Generation,Sony PlayStation 4,,Sony Computer Entertainment,Naughty Dog,Action-Adventure,High,,game_lists_8th_gen_enriched
The Last of Us - Part II,The Last of Us,2020,8th Generation,Sony PlayStation 4,,Sony Interactive Entertainment,Naughty Dog,Action-Adventure,High,,game_lists_8th_gen_enriched
Hyrule Warriors,The Legend of Zelda,2014,8th Generation,Nintendo Wii U,,Nintendo,Omega Force,Hack and Slash,High,,game_lists_8th_gen_enriched
The Legend of Zelda: Breath of the Wild,The Legend of Zelda,2017,8th Generation,Nintendo Wii U,,Nintendo,Nintendo EPD,Action-Adventure,High,,game_lists_8th_gen_enriched
The Legend of Zelda: Twilight Princess HD,The Legend of Zelda,2016,8th Generation,Nintendo Wii U,,Nintendo,Tantalus Media,Action-Adventure,High,,game_lists_8th_gen_enriched
The Legend of Zelda: The Wind Waker HD,The Legend of Zelda,2017,8th Generation,Nintendo Wii U,,Nintendo,Nintendo EAD,Action-Adventure,High,,game_lists_8th_gen_enriched
Hyrule Warriors: Age of Calamity,The Legend of Zelda,2020,8th Generation,Nintendo Switch,,Nintendo,Omega Force,Hack and Slash,High,,game_lists_8th_gen_enriched
Hyrule Warriors - Definitive Edition,The Legend of Zelda,2018,8th Generation,Nintendo Switch,,Nintendo,Omega Force,Hack and Slash,Medium,Metadata based on base game/title variant.,game_lists_8th_gen_enriched
The Legend of Zelda: Breath of the Wild,The Legend of Zelda,2017,8th Generation,Nintendo Switch,,Nintendo,Nintendo EPD,Action-Adventure,High,,game_lists_8th_gen_enriched
The Legend of Zelda: Echoes of Wisdom,The Legend of Zelda,2024,8th Generation,Nintendo Switch,,Nintendo,Nintendo EPD,Action-Adventure,Medium,,game_lists_8th_gen_enriched
The Legend of Zelda: Link’s Awakening,The Legend of Zelda,2019,8th Generation,Nintendo Switch,,Nintendo,Grezzo,Action-Adventure,High,,game_lists_8th_gen_enriched
The Legend of Zelda: Skyward Sword HD,The Legend of Zelda,2021,8th Generation,Nintendo Switch,,Nintendo,Tantalus Media,Action-Adventure,High,,game_lists_8th_gen_enriched
The Legend of Zelda: Tears of the Kingdom,The Legend of Zelda,2023,8th Generation,Nintendo Switch,,Nintendo,Nintendo EPD,Action-Adventure,High,,game_lists_8th_gen_enriched
The Lord of the Rings: Adventure Card Game,The Lord of the Rings,2019,8th Generation,Sony PlayStation 4,,Warner Bros. Interactive Entertainment / Electronic Arts,Various,Action / Strategy / RPG,Medium,Licensed franchise; publisher/developer varies.,game_lists_8th_gen_enriched
The Lord of the Rings: Gollum,The Lord of the Rings,2023,8th Generation,Sony PlayStation 4,,Warner Bros. Interactive Entertainment / Electronic Arts,Various,Action / Strategy / RPG,Medium,Licensed franchise; publisher/developer varies.,game_lists_8th_gen_enriched
Middle-Earth: Shadow of Mordor,The Lord of the Rings,2014,8th Generation,Sony PlayStation 4,,Warner Bros. Interactive Entertainment / Electronic Arts,Various,Action / Strategy / RPG,Medium,Licensed franchise; publisher/developer varies.,game_lists_8th_gen_enriched
Middle-Earth: Shadow of War,The Lord of the Rings,2017,8th Generation,Sony PlayStation 4,,Warner Bros. Interactive Entertainment / Electronic Arts,Various,Action / Strategy / RPG,Medium,Licensed franchise; publisher/developer varies.,game_lists_8th_gen_enriched
The Room,The Room,2018,8th Generation,Nintendo Switch,,Fireproof Games,Fireproof Games,Puzzle,High,,game_lists_8th_gen_enriched
The Sims 4,The Sims,2017,8th Generation,Sony PlayStation 4,,Electronic Arts,Maxis,Life Simulation,High,,game_lists_8th_gen_enriched
The Talos Principle,The Talos Principle,2015,8th Generation,Sony PlayStation 4,,Devolver Digital,Croteam,Puzzle,High,,game_lists_8th_gen_enriched
The Talos Principle,The Talos Principle,2019,8th Generation,Nintendo Switch,,Devolver Digital,Croteam,Puzzle,High,,game_lists_8th_gen_enriched
The Walking Dead: Survival Instinct,The Walking Dead,2013,8th Generation,Nintendo Wii U,,Telltale Games / Skybound Games,Telltale Games / Various,Adventure / Horror,Medium,Publisher/developer varies by title.,game_lists_8th_gen_enriched
The Walking Dead - The Final Season,The Walking Dead,2018,8th Generation,Sony PlayStation 4,,Telltale Games / Skybound Games,Telltale Games / Various,Adventure / Horror,Medium,Publisher/developer varies by title.,game_lists_8th_gen_enriched
The Walking Dead: Michonne,The Walking Dead,2016,8th Generation,Sony PlayStation 4,,Telltale Games / Skybound Games,Telltale Games / Various,Adventure / Horror,Medium,Publisher/developer varies by title.,game_lists_8th_gen_enriched
The Walking Dead - Season One,The Walking Dead,2014,8th Generation,Sony PlayStation 4,,Telltale Games / Skybound Games,Telltale Games / Various,Adventure / Horror,Medium,Publisher/developer varies by title.,game_lists_8th_gen_enriched
The Walking Dead - Season Two,The Walking Dead,2014,8th Generation,Sony PlayStation 4,,Telltale Games,Telltale Games,Graphic Adventure,High,,game_lists_8th_gen_enriched
The Walking Dead - Season Three,The Walking Dead,2016,8th Generation,Sony PlayStation 4,,Telltale Games,Telltale Games,Graphic Adventure,Medium,,game_lists_8th_gen_enriched
The Walking Dead - The Complete First Season,The Walking Dead,2018,8th Generation,Nintendo Switch,,Telltale Games,Telltale Games,Graphic Adventure,Medium,,game_lists_8th_gen_enriched
The Walking Dead - The Final Season,The Walking Dead,2018,8th Generation,Nintendo Switch,,Telltale Games / Skybound Games,Telltale Games / Various,Adventure / Horror,Medium,Publisher/developer varies by title.,game_lists_8th_gen_enriched
The Walking Dead - A New Frontier,The Walking Dead,2020,8th Generation,Nintendo Switch,,Telltale Games / Skybound Games,Telltale Games / Various,Adventure / Horror,Medium,Publisher/developer varies by title.,game_lists_8th_gen_enriched
The Walking Dead - Season Two,The Walking Dead,2020,8th Generation,Nintendo Switch,,Telltale Games,Telltale Games,Graphic Adventure,High,,game_lists_8th_gen_enriched
The Witcher 3: Wild Hunt,The Witcher,2015,8th Generation,Sony PlayStation 4,,CD Projekt,CD Projekt Red,RPG,High,,game_lists_8th_gen_enriched
The Witcher 3: Wild Hunt,The Witcher,2019,8th Generation,Nintendo Switch,,CD Projekt,CD Projekt Red,RPG,High,,game_lists_8th_gen_enriched
Thief,Thief,2014,8th Generation,Sony PlayStation 4,,Eidos Interactive / Square Enix,Looking Glass Studios / Ion Storm / Eidos Montréal,Stealth,Medium,Publisher/developer varies by era/title.,game_lists_8th_gen_enriched
Titanfall 2,Titanfall,2016,8th Generation,Sony PlayStation 4,,Electronic Arts,Respawn Entertainment,FPS,High,,game_lists_8th_gen_enriched
Tom Clancy’s Splinter Cell: Blacklist,Tom Clancy,2013,8th Generation,Nintendo Wii U,,Ubisoft,Ubisoft / Red Storm Entertainment,Tactical Shooter,Medium,Developer varies by sub-series/title.,game_lists_8th_gen_enriched
Tom Clancy’s Ghost Recon: Breakpoint,Tom Clancy,2019,8th Generation,Sony PlayStation 4,,Ubisoft,Ubisoft / Red Storm Entertainment,Tactical Shooter,Medium,Developer varies by sub-series/title.,game_lists_8th_gen_enriched
Tom Clancy’s Ghost Recon: Wildlands,Tom Clancy,2017,8th Generation,Sony PlayStation 4,,Ubisoft,Ubisoft / Red Storm Entertainment,Tactical Shooter,Medium,Developer varies by sub-series/title.,game_lists_8th_gen_enriched
Tom Clancy’s Rainbow Six: Extraction,Tom Clancy,2022,8th Generation,Sony PlayStation 4,,Ubisoft,Ubisoft / Red Storm Entertainment,Tactical Shooter,Medium,Developer varies by sub-series/title.,game_lists_8th_gen_enriched
Tom Clancy’s Rainbow Six: Siege,Tom Clancy,2015,8th Generation,Sony PlayStation 4,,Ubisoft,Ubisoft / Red Storm Entertainment,Tactical Shooter,Medium,Developer varies by sub-series/title.,game_lists_8th_gen_enriched
Tom Clancy’s The Division,Tom Clancy,2016,8th Generation,Sony PlayStation 4,,Ubisoft,Ubisoft / Red Storm Entertainment,Tactical Shooter,Medium,Developer varies by sub-series/title.,game_lists_8th_gen_enriched
Tom Clancy’s The Division 2,Tom Clancy,2019,8th Generation,Sony PlayStation 4,,Ubisoft,Ubisoft / Red Storm Entertainment,Tactical Shooter,Medium,Developer varies by sub-series/title.,game_lists_8th_gen_enriched
Lara Croft and the Temple of Osiris,Tomb Raider,2014,8th Generation,Sony PlayStation 4,,Square Enix,Crystal Dynamics / Core Design / Eidos Montréal,Action-adventure,Medium,Publisher/developer differs by era/title.,game_lists_8th_gen_enriched
Lara Croft Go,Tomb Raider,2016,8th Generation,Sony PlayStation 4,,Square Enix,Crystal Dynamics / Core Design / Eidos Montréal,Action-adventure,Medium,Publisher/developer differs by era/title.,game_lists_8th_gen_enriched
Rise of the Tomb Raider,Tomb Raider,2016,8th Generation,Sony PlayStation 4,,Square Enix,Crystal Dynamics / Core Design / Eidos Montréal,Action-adventure,Medium,Publisher/developer differs by era/title.,game_lists_8th_gen_enriched
Shadow of the Tomb Raider,Tomb Raider,2018,8th Generation,Sony PlayStation 4,,Square Enix,Crystal Dynamics / Core Design / Eidos Montréal,Action-adventure,Medium,Publisher/developer differs by era/title.,game_lists_8th_gen_enriched
Tomb Raider,Tomb Raider,2014,8th Generation,Sony PlayStation 4,,Eidos Interactive,Core Design,Action-adventure,High,,game_lists_8th_gen_enriched
Tomb Raider I-III Remastered,Tomb Raider,2024,8th Generation,Sony PlayStation 4,,Square Enix,Crystal Dynamics,Action-Adventure,Medium,,game_lists_8th_gen_enriched
Tomb Raider IV-VI Remastered,Tomb Raider,2025,8th Generation,Sony PlayStation 4,,Square Enix,Crystal Dynamics / Core Design / Eidos Montréal,Action-adventure,Medium,Publisher/developer differs by era/title.,game_lists_8th_gen_enriched
The Lara Croft Collection,Tomb Raider,2023,8th Generation,Nintendo Switch,,Feral Interactive,Crystal Dynamics,Action-Adventure,High,,game_lists_8th_gen_enriched
Tomb Raider I-III Remastered,Tomb Raider,2024,8th Generation,Nintendo Switch,,Square Enix,Crystal Dynamics,Action-Adventure,Medium,,game_lists_8th_gen_enriched
Tomb Raider IV-VI Remastered,Tomb Raider,2025,8th Generation,Nintendo Switch,,Square Enix,Crystal Dynamics / Core Design / Eidos Montréal,Action-adventure,Medium,Publisher/developer differs by era/title.,game_lists_8th_gen_enriched
Tomb Raider - Definitive Edition,Tomb Raider,2025,8th Generation,Nintendo Switch,,Eidos Interactive,Core Design,Action-adventure,Medium,Metadata based on base game/title variant.,game_lists_8th_gen_enriched
Transformers: Prime,Transformers,2012,8th Generation,Nintendo Wii U,,Activision,Traveller’s Tales,Action,Medium,Developer varies by game/platform.,game_lists_8th_gen_enriched
Transformers: Rise of the Dark Spark,Transformers,2014,8th Generation,Nintendo Wii U,,Activision / Outright Games,Various,Action,Medium,Licensed franchise; publisher/developer varies by title.,game_lists_8th_gen_enriched
Transformers: Devastation,Transformers,2015,8th Generation,Sony PlayStation 4,,Activision / Outright Games,Various,Action,Medium,Licensed franchise; publisher/developer varies by title.,game_lists_8th_gen_enriched
Transformers: Fall of Cybertron,Transformers,2012,8th Generation,Sony PlayStation 4,,Activision / Outright Games,Various,Action,Medium,Licensed franchise; publisher/developer varies by title.,game_lists_8th_gen_enriched
Transformers: Rise of the Dark Spark,Transformers,2014,8th Generation,Sony PlayStation 4,,Activision / Outright Games,Various,Action,Medium,Licensed franchise; publisher/developer varies by title.,game_lists_8th_gen_enriched
Transformers: EarthSpark - Expedition,Transformers,2023,8th Generation,Nintendo Switch,,Activision / Outright Games,Various,Action,Medium,Licensed franchise; publisher/developer varies by title.,game_lists_8th_gen_enriched
Turok: Dinosaur Hunter,Turok,2019,8th Generation,Nintendo Switch,,Acclaim Entertainment,Iguana Entertainment,FPS,High,,game_lists_8th_gen_enriched
Turok 2: Seeds of Evil,Turok,2019,8th Generation,Nintendo Switch,,Acclaim Entertainment,Iguana Entertainment,FPS,High,,game_lists_8th_gen_enriched
Uncharted 4: A Thief’s End,Uncharted,2016,8th Generation,Sony PlayStation 4,,Sony Interactive Entertainment,Naughty Dog,Action-Adventure,High,,game_lists_8th_gen_enriched
Uncharted: The Lost Legacy,Uncharted,2017,8th Generation,Sony PlayStation 4,,Sony Interactive Entertainment,Naughty Dog,Action-Adventure,High,,game_lists_8th_gen_enriched
Uncharted - The Nathan Drake Collection,Uncharted,2015,8th Generation,Sony PlayStation 4,,Sony Computer Entertainment,Bluepoint Games,Action-Adventure,High,,game_lists_8th_gen_enriched
Undertale,Undertale,2017,8th Generation,Sony PlayStation 4,,Toby Fox,Toby Fox,RPG,High,,game_lists_8th_gen_enriched
Undertale,Undertale,2018,8th Generation,Nintendo Switch,,Toby Fox,Toby Fox,RPG,High,,game_lists_8th_gen_enriched
Until Dawn,Until Dawn,2015,8th Generation,Sony PlayStation 4,,Sony Computer Entertainment,Supermassive Games,Interactive Drama,High,,game_lists_8th_gen_enriched
Untitled Goose Game,,2019,8th Generation,Sony PlayStation 4,,Panic,House House,Puzzle,High,,game_lists_8th_gen_enriched
Untitled Goose Game,,2019,8th Generation,Nintendo Switch,,Panic,House House,Puzzle,High,,game_lists_8th_gen_enriched
Game & Wario,Wario,2013,8th Generation,Nintendo Wii U,,Nintendo,Nintendo SPD,Party,High,,game_lists_8th_gen_enriched
WarioWare: Get It Together!,Wario,2021,8th Generation,Nintendo Switch,,Nintendo,Intelligent Systems,Party,High,,game_lists_8th_gen_enriched
WarioWare: Move It!,Wario,2023,8th Generation,Nintendo Switch,,Nintendo,Intelligent Systems,Party,High,,game_lists_8th_gen_enriched
Watch_Dogs,Watch_Dogs,2014,8th Generation,Nintendo Wii U,,Ubisoft,Ubisoft,Action-adventure,High,,game_lists_8th_gen_enriched
Watch_Dogs,Watch_Dogs,2014,8th Generation,Sony PlayStation 4,,Ubisoft,Ubisoft,Action-adventure,High,,game_lists_8th_gen_enriched
Watch_Dogs 2,Watch_Dogs,2016,8th Generation,Sony PlayStation 4,,Ubisoft,Ubisoft,Action-adventure,High,,game_lists_8th_gen_enriched
Watch_Dogs: Legion,Watch_Dogs,2020,8th Generation,Sony PlayStation 4,,Ubisoft,Ubisoft,Action-adventure,High,,game_lists_8th_gen_enriched
Wii Fit U,Wii,2013,8th Generation,Nintendo Wii U,,Nintendo,Nintendo EAD,Fitness,High,,game_lists_8th_gen_enriched
Wii Party U,Wii,2013,8th Generation,Nintendo Wii U,,Nintendo,NDcube,Party,High,,game_lists_8th_gen_enriched
Wii Sports Club,Wii,2013,8th Generation,Nintendo Wii U,,Nintendo,Bandai Namco Studios,Sports,High,,game_lists_8th_gen_enriched
Nintendo Switch Sports,Wii,2022,8th Generation,Nintendo Switch,,Nintendo,Nintendo EPD,Sports,High,,game_lists_8th_gen_enriched
Wolfenstein: The New Order,Wolfenstein,2014,8th Generation,Sony PlayStation 4,,Bethesda Softworks,id Software / MachineGames / Raven Software,FPS,Medium,Publisher/developer varies by era/title; modern canonical publisher set to Bethesda.,game_lists_8th_gen_enriched
Wolfenstein: The Old Blood,Wolfenstein,2015,8th Generation,Sony PlayStation 4,,Bethesda Softworks,MachineGames,FPS,Medium,,game_lists_8th_gen_enriched
Wolfenstein II: The New Colossus,Wolfenstein,2017,8th Generation,Sony PlayStation 4,,Bethesda Softworks,id Software / MachineGames / Raven Software,FPS,Medium,Publisher/developer varies by era/title; modern canonical publisher set to Bethesda.,game_lists_8th_gen_enriched
Wolfenstein: Youngblood,Wolfenstein,2019,8th Generation,Sony PlayStation 4,,Bethesda Softworks,id Software / MachineGames / Raven Software,FPS,Medium,Publisher/developer varies by era/title; modern canonical publisher set to Bethesda.,game_lists_8th_gen_enriched
Wolfenstein II: The New Colossus,Wolfenstein,2018,8th Generation,Nintendo Switch,,Bethesda Softworks,id Software / MachineGames / Raven Software,FPS,Medium,Publisher/developer varies by era/title; modern canonical publisher set to Bethesda.,game_lists_8th_gen_enriched
Wolfenstein: Youngblood,Wolfenstein,2019,8th Generation,Nintendo Switch,,Bethesda Softworks,id Software / MachineGames / Raven Software,FPS,Medium,Publisher/developer varies by era/title; modern canonical publisher set to Bethesda.,game_lists_8th_gen_enriched
Yoshi’s Woolly World,Yoshi,2015,8th Generation,Nintendo Wii U,,Nintendo,Good-Feel,Platformer,High,,game_lists_8th_gen_enriched
Yoshi’s Crafted World,Yoshi,2019,8th Generation,Nintendo Switch,,Nintendo,Good-Feel,Platformer,High,,game_lists_8th_gen_enriched
ZombiU,,2012,8th Generation,Nintendo Wii U,,Ubisoft,Ubisoft Montpellier,Survival Horror,High,,game_lists_8th_gen_enriched
Back to the Future - 30th Anniversary Edition,,2015,8th Generation,Sony PlayStation 4,,Telltale Games,Telltale Games,Graphic Adventure,High,,game_lists_8th_gen_enriched
Balatro,,2024,8th Generation,Sony PlayStation 4,,Playstack,LocalThunk,Roguelike Deck-builder,High,,game_lists_8th_gen_enriched
Balatro,,2024,8th Generation,Nintendo Switch,,Playstack,LocalThunk,Roguelike Deck-builder,High,,game_lists_8th_gen_enriched
Catherine: Full Body,,2019,8th Generation,Sony PlayStation 4,,Atlus,Studio Zero,Puzzle,High,,game_lists_8th_gen_enriched
Catherine: Full Body,,2020,8th Generation,Nintendo Switch,,Atlus,Studio Zero,Puzzle,High,,game_lists_8th_gen_enriched
Control,,2019,8th Generation,Sony PlayStation 4,,505 Games,Remedy Entertainment,Action-Adventure,High,,game_lists_8th_gen_enriched
Control - Ultimate Edition Cloud Version,,2020,8th Generation,Nintendo Switch,,505 Games,Remedy Entertainment,Action-Adventure,High,,game_lists_8th_gen_enriched
Cuphead,,2019,8th Generation,Sony PlayStation 4,,Studio MDHR,Studio MDHR,Run and Gun,High,,game_lists_8th_gen_enriched
Cuphead,,2019,8th Generation,Nintendo Switch,,Studio MDHR,Studio MDHR,Run and Gun,High,,game_lists_8th_gen_enriched
Cyberpunk 2077,,2020,8th Generation,Sony PlayStation 4,,CD Projekt,CD Projekt Red,RPG,High,,game_lists_8th_gen_enriched
Days Gone,,2019,8th Generation,Sony PlayStation 4,,Sony Interactive Entertainment,Bend Studio,Action-Adventure,High,,game_lists_8th_gen_enriched
Deltarune,Undertale,2019,8th Generation,Sony PlayStation 4,,Toby Fox,Toby Fox,RPG,High,,game_lists_8th_gen_enriched
Deltarune,Undertale,2019,8th Generation,Nintendo Switch,,Toby Fox,Toby Fox,RPG,High,,game_lists_8th_gen_enriched
Detroit: Become Human,,2018,8th Generation,Sony PlayStation 4,,Sony Interactive Entertainment,Quantic Dream,Interactive Drama,High,,game_lists_8th_gen_enriched
Duck Game,,2017,8th Generation,Sony PlayStation 4,,Adult Swim Games,Landon Podbielski,Action,High,,game_lists_8th_gen_enriched
Duck Game,,2017,8th Generation,Nintendo Switch,,Adult Swim Games,Landon Podbielski,Action,High,,game_lists_8th_gen_enriched
Fall Guys: Ultimate Knockout,,2020,8th Generation,Sony PlayStation 4,,Epic Games,Mediatonic,Battle Royale,High,,game_lists_8th_gen_enriched
Fall Guys: Ultimate Knockout,,2022,8th Generation,Nintendo Switch,,Epic Games,Mediatonic,Battle Royale,High,,game_lists_8th_gen_enriched
Fortnite Battle Royale,,2017,8th Generation,Sony PlayStation 4,,Epic Games,Epic Games,Battle Royale,High,,game_lists_8th_gen_enriched
Fortnite Battle Royale,,2017,8th Generation,Nintendo Switch,,Epic Games,Epic Games,Battle Royale,High,,game_lists_8th_gen_enriched
Friday the 13th,,2018,8th Generation,Sony PlayStation 4,,Gun Media,IllFonic,Survival Horror,High,,game_lists_8th_gen_enriched
Friday the 13th,,2018,8th Generation,Nintendo Switch,,Gun Media,IllFonic,Survival Horror,High,,game_lists_8th_gen_enriched
It Takes Two,,2021,8th Generation,Sony PlayStation 4,,Electronic Arts,Hazelight Studios,Action-Adventure,High,,game_lists_8th_gen_enriched
